"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12/28/2023","134,185","134,194","134,392","133,832","7.81M","-0.01%"
"12/27/2023","134,194","133,523","134,195","133,328","6.17M","0.49%"
"12/26/2023","133,533","132,753","133,645","132,753","5.15M","0.59%"
"12/22/2023","132,753","132,182","133,035","132,094","8.23M","0.43%"
"12/21/2023","132,182","130,826","132,277","130,822","8.68M","1.05%"
"12/20/2023","130,804","131,851","132,341","130,710","10.34M","-0.79%"
"12/19/2023","131,851","131,088","132,047","131,086","9.43M","0.59%"
"12/18/2023","131,084","130,202","131,447","130,198","9.60M","0.68%"
"12/15/2023","130,197","130,842","131,661","129,884","15.14M","-0.49%"
"12/14/2023","130,842","129,469","131,260","129,469","15.82M","1.06%"
"12/13/2023","129,465","126,406","129,793","126,299","15.07M","2.42%"
"12/12/2023","126,403","126,923","127,359","126,013","10.27M","-0.40%"
"12/11/2023","126,916","127,093","127,154","126,526","7.09M","-0.14%"
"12/08/2023","127,094","126,010","127,289","125,562","10.75M","0.86%"
"12/07/2023","126,010","125,623","126,581","125,566","10.51M","0.31%"
"12/06/2023","125,623","126,907","127,538","125,614","10.84M","-1.01%"
"12/05/2023","126,903","126,802","127,489","126,491","11.96M","0.08%"
"12/04/2023","126,803","128,183","128,183","126,643","10.27M","-1.08%"
"12/01/2023","128,185","127,331","128,185","126,656","13.70M","0.67%"
"11/30/2023","127,331","126,168","127,399","126,168","19.24M","0.92%"
"11/29/2023","126,166","126,541","127,388","126,018","12.42M","-0.29%"
"11/28/2023","126,538","125,726","126,916","125,388","12.39M","0.64%"
"11/27/2023","125,731","125,517","125,826","124,840","11.01M","0.17%"
"11/24/2023","125,517","126,553","126,553","125,341","9.61M","-0.84%"
"11/23/2023","126,576","126,035","126,760","125,764","7.82M","0.43%"
"11/22/2023","126,035","125,626","126,875","125,439","14.06M","0.33%"
"11/21/2023","125,626","125,957","125,957","125,060","10.79M","-0.26%"
"11/20/2023","125,957","124,773","126,162","124,773","11.11M","0.95%"
"11/17/2023","124,773","124,639","125,431","124,547","15.72M","0.11%"
"11/16/2023","124,639","123,165","124,737","123,165","18.36M","1.20%"
"11/14/2023","123,166","120,411","123,370","120,411","19.43M","2.29%"
"11/13/2023","120,410","120,561","120,606","119,878","11.20M","-0.13%"
"11/10/2023","120,568","119,036","120,823","119,036","11.75M","1.29%"
"11/09/2023","119,034","119,180","120,257","118,446","15.57M","-0.12%"
"11/08/2023","119,177","119,268","119,976","118,464","15.19M","-0.08%"
"11/07/2023","119,268","118,422","119,577","118,026","16.39M","0.71%"
"11/06/2023","118,431","118,160","118,758","118,045","10.17M","0.23%"
"11/03/2023","118,160","115,062","118,502","115,062","15.71M","2.70%"
"11/01/2023","115,053","113,157","115,433","113,157","13.90M","1.69%"
"10/31/2023","113,144","112,534","113,597","112,098","10.56M","0.54%"
"10/30/2023","112,532","113,303","114,204","112,309","9.74M","-0.68%"
"10/27/2023","113,301","114,777","115,342","112,953","12.29M","-1.29%"
"10/26/2023","114,777","112,840","114,886","112,840","12.77M","1.73%"
"10/25/2023","112,830","113,762","114,319","112,680","12.31M","-0.82%"
"10/24/2023","113,762","112,814","114,249","112,814","10.71M","0.87%"
"10/23/2023","112,785","113,145","113,680","112,164","10.70M","-0.33%"
"10/20/2023","113,155","113,996","114,090","112,533","11.74M","-0.74%"
"10/19/2023","114,004","114,059","115,063","113,768","11.50M","-0.05%"
"10/18/2023","114,060","115,907","115,907","113,952","15.49M","-1.60%"
"10/17/2023","115,908","116,526","116,917","115,564","10.37M","-0.54%"
"10/16/2023","116,534","115,760","116,905","115,760","8.99M","0.67%"
"10/13/2023","115,754","117,050","117,070","115,658","10.61M","-1.11%"
"10/11/2023","117,051","116,737","117,099","116,231","9.95M","0.27%"
"10/10/2023","116,737","115,158","116,900","115,158","11.62M","1.37%"
"10/09/2023","115,156","114,169","115,219","113,448","9.47M","0.86%"
"10/06/2023","114,170","113,283","114,491","111,599","13.14M","0.78%"
"10/05/2023","113,284","113,609","114,359","112,705","9.51M","-0.28%"
"10/04/2023","113,607","113,430","114,075","113,036","10.81M","0.17%"
"10/03/2023","113,419","115,055","115,056","113,151","11.10M","-1.42%"
"10/02/2023","115,057","116,565","116,672","114,761","8.52M","-1.29%"
"09/29/2023","116,565","115,742","116,899","115,742","11.14M","0.72%"
"09/28/2023","115,731","114,327","115,954","114,180","10.39M","1.23%"
"09/27/2023","114,327","114,193","115,340","113,366","13.36M","0.12%"
"09/26/2023","114,193","115,922","115,922","114,162","11.24M","-1.49%"
"09/25/2023","115,925","116,009","116,031","115,573","9.58M","-0.07%"
"09/22/2023","116,009","116,147","116,968","115,855","9.44M","-0.12%"
"09/21/2023","116,145","118,695","118,695","116,013","12.69M","-2.15%"
"09/20/2023","118,695","117,864","119,616","117,847","9.24M","0.72%"
"09/19/2023","117,846","118,288","118,458","117,628","11.45M","-0.37%"
"09/18/2023","118,288","118,759","119,486","118,123","11.27M","-0.40%"
"09/15/2023","118,758","119,393","119,780","118,666","16.11M","-0.53%"
"09/14/2023","119,392","118,181","119,748","118,181","13.28M","1.03%"
"09/13/2023","118,176","117,968","119,318","117,722","12.08M","0.18%"
"09/12/2023","117,968","116,885","118,154","116,885","9.19M","0.93%"
"09/11/2023","116,883","115,316","117,131","115,316","8.79M","1.36%"
"09/08/2023","115,313","115,979","115,979","114,839","8.36M","-0.58%"
"09/06/2023","115,985","117,331","117,971","115,984","9.92M","-1.15%"
"09/05/2023","117,331","117,776","117,957","116,637","10.87M","-0.38%"
"09/04/2023","117,777","117,893","118,576","117,590","5.53M","-0.10%"
