"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10/11/2021","112,180","112,834","113,982","112,052","10.28M","-0.58%"
"10/08/2021","112,833","110,586","114,172","110,586","12.87M","2.03%"
"10/07/2021","110,585","110,563","111,522","110,563","10.65M","0.02%"
"10/06/2021","110,560","110,454","110,614","108,180","13.28M","0.09%"
"10/05/2021","110,458","110,397","111,691","110,087","10.38M","0.06%"
"10/04/2021","110,393","112,900","112,900","109,979","11.81M","-2.22%"
"10/01/2021","112,900","110,980","113,020","110,980","10.78M","1.73%"
"09/30/2021","110,979","111,117","112,371","110,743","13.16M","-0.12%"
"09/29/2021","111,107","110,125","112,028","110,125","11.37M","0.89%"
"09/28/2021","110,124","113,584","113,584","109,981","13.19M","-3.05%"
"09/27/2021","113,583","113,283","114,432","112,360","10.74M","0.26%"
"09/24/2021","113,283","114,062","114,062","112,505","9.12M","-0.68%"
"09/23/2021","114,064","112,282","114,330","112,281","11.48M","1.59%"
"09/22/2021","112,282","110,252","113,321","110,251","12.16M","1.84%"
"09/21/2021","110,250","108,859","110,923","108,859","11.25M","1.29%"
"09/20/2021","108,844","111,435","111,435","107,520","11.50M","-2.33%"
"09/17/2021","111,439","113,794","113,794","111,157","14.83M","-2.07%"
"09/16/2021","113,794","115,062","115,062","113,395","10.69M","-1.10%"
"09/15/2021","115,063","116,191","116,312","114,741","9.46M","-0.96%"
"09/14/2021","116,181","116,405","117,270","115,809","9.03M","-0.19%"
"09/13/2021","116,404","114,300","117,046","114,300","9.25M","1.85%"
"09/10/2021","114,286","115,370","116,896","114,286","11.16M","-0.93%"
"09/09/2021","115,361","113,413","116,354","112,435","13.89M","1.72%"
"09/08/2021","113,413","117,866","117,866","113,172","12.32M","-3.78%"
"09/06/2021","117,869","116,926","117,981","116,156","5.11M","0.80%"
"09/03/2021","116,933","116,679","117,396","115,583","12.52M","0.22%"
"09/02/2021","116,677","119,394","119,397","116,534","9.86M","-2.28%"
"09/01/2021","119,396","118,793","119,942","118,067","9.52M","0.52%"
"08/31/2021","118,781","119,738","120,157","117,911","11.54M","-0.80%"
"08/30/2021","119,740","120,677","120,684","119,354","6.39M","-0.78%"
"08/27/2021","120,678","118,725","120,678","118,721","7.32M","1.65%"
"08/26/2021","118,724","120,817","120,833","118,719","8.43M","-1.73%"
"08/25/2021","120,818","120,210","120,818","119,226","7.52M","0.50%"
"08/24/2021","120,211","117,474","120,463","117,474","9.18M","2.33%"
"08/23/2021","117,472","118,053","118,445","117,062","7.85M","-0.49%"
"08/20/2021","118,053","117,163","118,308","116,040","8.93M","0.76%"
"08/19/2021","117,165","116,641","117,453","114,801","10.52M","0.45%"
"08/18/2021","116,643","117,904","118,739","116,489","11.75M","-1.07%"
"08/17/2021","117,904","119,179","119,179","116,248","11.22M","-1.07%"
"08/16/2021","119,180","121,191","121,191","118,684","9.74M","-1.66%"
"08/13/2021","121,194","120,701","121,275","120,045","10.64M","0.41%"
"08/12/2021","120,701","122,056","122,095","120,534","11.07M","-1.11%"
"08/11/2021","122,056","122,203","122,756","120,827","8.69M","-0.12%"
"08/10/2021","122,202","123,021","123,513","122,061","8.30M","-0.66%"
"08/09/2021","123,019","122,809","123,597","122,258","7.17M","0.17%"
"08/06/2021","122,810","121,633","123,287","121,568","7.50M","0.97%"
"08/05/2021","121,633","121,801","123,541","121,128","10.91M","-0.14%"
"08/04/2021","121,801","123,577","123,587","121,072","9.16M","-1.44%"
"08/03/2021","123,577","122,516","123,765","120,807","9.39M","0.87%"
"08/02/2021","122,516","121,803","124,536","121,797","8.57M","0.59%"
"07/30/2021","121,801","125,672","125,673","121,748","9.40M","-3.08%"
"07/29/2021","125,675","126,285","126,476","124,917","7.49M","-0.48%"
"07/28/2021","126,286","124,615","126,712","124,542","9.04M","1.34%"
"07/27/2021","124,612","126,004","126,026","123,670","7.31M","-1.10%"
"07/26/2021","126,004","125,058","126,214","125,006","6.33M","0.76%"
"07/23/2021","125,053","126,140","126,204","124,422","6.05M","-0.87%"
"07/22/2021","126,147","125,930","126,428","125,416","6.48M","0.17%"
"07/21/2021","125,929","125,404","126,112","125,247","7.15M","0.42%"
"07/20/2021","125,401","124,395","125,631","123,631","7.63M","0.81%"
"07/19/2021","124,395","125,958","125,958","123,317","9.21M","-1.24%"
"07/16/2021","125,960","127,468","128,010","125,808","7.36M","-1.18%"
"07/15/2021","127,468","128,407","128,976","126,922","7.42M","-0.73%"
"07/14/2021","128,407","128,169","129,620","128,085","9.21M","0.19%"
"07/13/2021","128,168","127,594","128,420","126,441","7.15M","0.45%"
"07/12/2021","127,594","125,428","127,782","125,428","7.42M","1.73%"
"07/08/2021","125,428","127,013","127,013","124,310","8.88M","-1.25%"
"07/07/2021","127,019","125,096","127,249","125,094","8.15M","1.54%"
"07/06/2021","125,095","126,919","126,919","124,866","7.65M","-1.44%"
"07/05/2021","126,920","127,622","127,633","126,531","5.26M","-0.55%"
"07/02/2021","127,622","125,667","127,672","125,667","7.43M","1.56%"
"07/01/2021","125,666","126,802","127,204","124,994","9.29M","-0.90%"
"06/30/2021","126,802","127,323","127,323","126,199","9.10M","-0.41%"
"06/29/2021","127,327","127,429","127,507","126,184","7.78M","-0.08%"
"06/28/2021","127,429","127,255","128,067","126,629","8.16M","0.14%"
"06/25/2021","127,256","129,513","129,748","126,697","9.36M","-1.74%"
"06/24/2021","129,514","128,433","129,541","128,428","7.24M","0.85%"
"06/23/2021","128,428","128,769","129,901","128,182","7.99M","-0.26%"
"06/22/2021","128,767","129,242","129,259","127,803","9.33M","-0.39%"
"06/21/2021","129,265","128,405","129,412","128,048","7.33M","0.67%"
"06/18/2021","128,405","128,050","128,796","127,595","12.43M","0.27%"
"06/17/2021","128,057","129,259","129,919","127,576","9.66M","-0.93%"
"06/16/2021","129,259","130,091","130,283","128,345","12.88M","-0.64%"
