"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12/29/2022","109,735","110,237","111,178","109,560","13.39M","-0.46%"
"12/28/2022","110,237","108,578","110,536","108,578","11.19M","1.53%"
"12/27/2022","108,578","108,739","109,353","107,418","11.16M","-0.15%"
"12/26/2022","108,738","109,699","109,755","108,309","5.22M","-0.87%"
"12/23/2022","109,698","107,552","109,994","107,552","12.85M","2.00%"
"12/22/2022","107,552","107,436","108,383","106,510","11.49M","0.11%"
"12/21/2022","107,433","106,866","107,991","106,066","17.63M","0.53%"
"12/20/2022","106,864","104,740","107,792","104,607","19.13M","2.03%"
"12/19/2022","104,740","102,859","105,107","102,770","16.77M","1.83%"
"12/16/2022","102,856","103,737","104,018","102,248","18.26M","-0.85%"
"12/15/2022","103,738","103,739","105,483","103,014","15.57M","-0.01%"
"12/14/2022","103,746","103,536","104,516","101,632","24.92M","0.20%"
"12/13/2022","103,540","105,345","106,689","103,409","17.70M","-1.71%"
"12/12/2022","105,343","107,518","107,561","103,877","15.48M","-2.02%"
"12/09/2022","107,520","107,250","108,566","107,089","10.68M","0.25%"
"12/08/2022","107,249","109,068","109,286","106,906","14.92M","-1.67%"
"12/07/2022","109,069","110,188","110,247","108,612","13.83M","-1.02%"
"12/06/2022","110,189","109,403","110,663","109,217","13.44M","0.72%"
"12/05/2022","109,401","111,922","112,150","109,270","12.31M","-2.25%"
"12/02/2022","111,924","110,926","113,761","109,963","15.98M","0.90%"
"12/01/2022","110,926","112,479","112,479","110,548","15.19M","-1.39%"
"11/30/2022","112,486","110,910","112,486","110,202","19.70M","1.42%"
"11/29/2022","110,910","108,784","112,187","108,784","14.72M","1.96%"
"11/28/2022","108,782","108,977","109,476","108,378","11.49M","-0.18%"
"11/25/2022","108,977","111,831","112,025","108,552","12.31M","-2.55%"
"11/24/2022","111,831","108,846","112,612","108,846","10.30M","2.75%"
"11/23/2022","108,841","109,036","109,285","107,902","13.20M","-0.18%"
"11/22/2022","109,037","109,750","110,224","107,867","15.06M","-0.65%"
"11/21/2022","109,748","108,868","110,235","107,957","16.65M","0.81%"
"11/18/2022","108,870","109,706","111,585","108,512","18.77M","-0.76%"
"11/17/2022","109,703","110,241","110,242","107,245","23.12M","-0.49%"
"11/16/2022","110,243","113,166","113,473","109,512","18.35M","-2.58%"
"11/14/2022","113,161","112,256","114,322","111,930","15.08M","0.81%"
"11/11/2022","112,253","109,775","113,010","109,408","25.04M","2.26%"
"11/10/2022","109,775","113,579","113,579","108,516","26.03M","-3.35%"
"11/09/2022","113,580","116,153","116,183","113,110","20.53M","-2.22%"
"11/08/2022","116,160","115,340","117,072","114,688","14.24M","0.71%"
"11/07/2022","115,342","118,148","118,240","115,221","15.22M","-2.38%"
"11/04/2022","118,155","116,907","120,039","116,904","16.21M","1.08%"
"11/03/2022","116,896","116,927","117,373","114,485","15.63M","-0.03%"
"11/01/2022","116,929","116,037","118,261","115,547","17.97M","0.77%"
"10/31/2022","116,037","114,533","116,763","112,113","21.64M","1.31%"
"10/28/2022","114,539","114,636","114,712","113,336","14.39M","-0.09%"
"10/27/2022","114,641","112,766","116,236","112,765","15.53M","1.66%"
"10/26/2022","112,764","114,626","114,626","112,577","16.09M","-1.62%"
"10/25/2022","114,626","116,016","116,203","114,626","14.73M","-1.20%"
"10/24/2022","116,013","119,922","119,924","115,793","13.28M","-3.27%"
"10/21/2022","119,929","117,170","120,752","116,736","18.58M","2.35%"
"10/20/2022","117,171","116,276","117,367","116,276","16.92M","0.77%"
"10/19/2022","116,274","115,744","116,459","115,264","12.73M","0.46%"
"10/18/2022","115,743","113,627","115,795","113,627","14.74M","1.87%"
"10/17/2022","113,624","112,107","114,406","112,090","11.63M","1.38%"
"10/14/2022","112,072","114,301","114,712","111,631","13.10M","-1.95%"
"10/13/2022","114,300","114,819","115,367","112,690","14.58M","-0.46%"
"10/11/2022","114,827","115,928","115,928","114,297","13.14M","-0.96%"
"10/10/2022","115,941","116,377","116,841","115,261","11.43M","-0.37%"
